"","idPdc","nom","nomOrganisme/domain","lat","lon","token","type"
"1","100000011","Tours","CRT Centre-Val de Loire","47.36385","0.67566","","publicwebpageplus"
"2","100000012","Savonniéres","CRT Centre-Val de Loire","47.34693","0.53067","","publicwebpageplus"
"3","100000013","Briare","CRT Centre-Val de Loire","47.6328","2.73884","","publicwebpageplus"
"4","100000014","Couargues","CRT Centre-Val de Loire","47.28991","2.93055","","publicwebpageplus"
"5","100000015","Mareau-aux-Prés","CRT Centre-Val de Loire","47.86281","1.79849","","publicwebpageplus"
"6","100000016","Muides","CRT Centre-Val de Loire","47.67906","1.52534","","publicwebpageplus"
"7","100000017","Montlouis","CRT Centre-Val de Loire","47.39538","0.81058","","publicwebpageplus"
"8","100000018","Candes","CRT Centre-Val de Loire","47.21422","0.06798","","publicwebpageplus"
"9","100000079","Saint Satur","CRT Centre-Val de Loire","47.35264","2.86431","","publicwebpageplus"
"10","100003297","Cuffy_old","CRT Centre-Val de Loire","46.96343","3.05692","","publicwebpageplus"
"11","100015526","ECOMOBILECRT_T60G4076009","CRT Centre-Val de Loire","47.063544722033","0.316393375396729","","publicwebpageplus"
"12","100034871","ECOMOBILECRT_ECO07031090 (ADT41)","CRT Centre-Val de Loire","47.774641","0.792573","","publicwebpageplus"
"13","100037531","ECOMOBILECRT_ECO06030565","CRT Centre-Val de Loire","48.4431228284755","1.49716186529986","","publicwebpageplus"
"14","100061401","St-Christophe (RD145)","CRT Centre-Val de Loire","48.12089","1.36577","","publicwebpageplus"
"15","100061402","Les Moulins de Soulaires (RD19.2)","CRT Centre-Val de Loire","48.52365","1.57477","","publicwebpageplus"
"16","100061403","Spoir (Mignières - RD149.9)","CRT Centre-Val de Loire","48.42598","1.45623","","publicwebpageplus"
"17","100061404","Trizay-Coutretot-St-Serge (RD112.1)","CRT Centre-Val de Loire","48.3077","0.85065","","publicwebpageplus"
"18","100061658","Cuffy","CRT Centre-Val de Loire","46.96296","3.057273","","publicwebpageplus"
"19","300022561","ECOMOBILECRT_X2I21121455 (sens unique)","CRT Centre-Val de Loire","47.721247","0.87756","","publicwebpageplus"
"20","100001273","Noljakanraitti","Joensuu","62.61425","29.72472","","publicwebpageplus"
"21","100014679","Ylisoutajan silta","Joensuu","62.5942263429571","29.7574717664032","","publicwebpageplus"
"22","100033674","Suvantosilta etelä","Joensuu","62.5977924526594","29.763522890087","","publicwebpageplus"
